f ||| e ||| p_l->r (m|(f,e)) p_l->r (s|(f,e)) p_l->r (dl|(f,e)) p_l->r (dr|(f,e)) p_r->l (m|(f,e)) p_r->l (s|(f,e)) p_r->l (dl|(f,e)) p_r->l (dr|(f,e))
jetzt tun ||| do now ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
den seniorentourismus ||| tourism for senior citizens ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
welche sind das ||| so what are these ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
soweit meine ||| this is my ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
wird diese ||| has it ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
ich bin allerdings ||| i am , however , ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
etwas ||| we ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
bedauere dies ebenso wie sie . ||| too wholeheartedly regret this situation . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
dort ist ||| it ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
punkt der tagesordnung ||| item ||| 0.2566617807343932 0.009414815650016914 0.6770022926297591 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
an ||| in ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
wichtige themen ||| important issues ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
sehr ernste ||| very serious ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
schreyer ! ||| schreyer . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
meiner überzeugung nach nicht ||| i do not think so ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
das ist nach ||| we can ||| 0.2566617807343932 0.009414815650016914 0.01033562596309242 0.7235877776524974 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
nicht zutreffend ||| not case ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
worum geht es ||| what are we talking about ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
die antwort ist eindeutig ||| the answer is clearly ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
über dieses thema diskutiert ||| discussing this issue ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
ein ernstes ||| a serious ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
den betrieben wechseln die verantwortungen ||| companies , responsibilities are changing ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.262352987607546 0.009945536348567369 0.7167890125503197 0.010912463493566974
schließlich legte der rat ||| the council finally presented ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
das sehen ||| see that ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
vorschlag . ||| proposal . ||| 0.7699853422031796 0.02824444695005074 0.031006877889277258 0.17076333295749238 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
nein , herr kommissar ||| no , commissioner ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.9290196542742127 0.009945536348567369 0.05012234588365302 0.010912463493566974
kommen gleichzeitig die dokumente ||| the documents ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
ist diese ||| is this ||| 0.9233284474010599 0.009414815650016914 0.01033562596309242 0.056921110985830796 0.787058962822638 0.02983660904570211 0.15036703765095905 0.03273739048070092
